"did","measurement_time","temp_out","temp_in","humid","pressure"
1,"2022-09-03 00:01:54",14.9,22.4,49.2,1015.5
1,"2022-09-03 00:11:38",15.0,22.4,49.3,1015.5
1,"2022-09-03 00:21:21",14.9,22.4,49.0,1015.6
1,"2022-09-03 00:31:05",15.0,22.3,49.2,1015.6
1,"2022-09-03 00:40:48",14.9,22.3,48.9,1015.8
1,"2022-09-03 00:50:32",14.8,22.3,48.8,1015.9
1,"2022-09-03 01:00:15",14.6,22.3,48.7,1015.9
1,"2022-09-03 01:09:59",14.4,22.2,48.7,1015.7
1,"2022-09-03 01:19:42",14.2,22.2,48.7,1015.7
1,"2022-09-03 01:29:25",14.1,22.2,48.8,1015.6
1,"2022-09-03 01:39:09",14.1,22.2,48.7,1015.5
1,"2022-09-03 01:48:52",13.8,22.1,48.6,1015.6
1,"2022-09-03 01:58:35",13.9,22.1,48.7,1015.5
1,"2022-09-03 02:08:19",14.0,22.1,48.4,1015.7
1,"2022-09-03 02:18:02",13.7,22.0,48.3,1015.5
1,"2022-09-03 02:27:46",13.7,22.0,48.3,1015.4
1,"2022-09-03 02:37:29",13.5,21.9,48.2,1015.2
1,"2022-09-03 02:47:12",13.5,21.9,48.1,1015.3
1,"2022-09-03 02:56:55",13.4,21.9,48.1,1015.4
1,"2022-09-03 03:06:38",13.4,21.8,48.2,1015.4
1,"2022-09-03 03:16:22",13.2,21.8,48.2,1015.2
1,"2022-09-03 03:26:04",13.2,21.8,48.3,1015.4
1,"2022-09-03 03:35:48",13.1,21.7,48.2,1015.3
1,"2022-09-03 03:45:31",13.0,21.7,48.3,1015.4
1,"2022-09-03 03:55:14",12.8,21.7,48.4,1015.6
1,"2022-09-03 04:04:58",13.0,21.6,48.5,1015.6
1,"2022-09-03 04:14:41",12.8,21.6,48.7,1015.5
1,"2022-09-03 04:24:25",12.7,21.6,48.5,1015.5
1,"2022-09-03 04:34:08",12.7,21.6,48.5,1015.5
1,"2022-09-03 04:43:51",12.7,21.5,48.3,1015.6
1,"2022-09-03 04:53:36",12.7,21.5,48.3,1015.6
1,"2022-09-03 05:03:17",12.7,21.5,48.4,1015.8
1,"2022-09-03 05:13:01",12.7,21.5,48.2,1015.9
1,"2022-09-03 05:22:44",12.7,21.5,48.1,1015.9
1,"2022-09-03 05:32:28",12.5,21.4,48.2,1015.9
1,"2022-09-03 05:42:11",12.7,21.4,48.1,1016.1
1,"2022-09-03 05:51:54",12.8,21.4,48.0,1016.2
1,"2022-09-03 06:01:38",13.0,21.4,48.0,1016.2
1,"2022-09-03 06:11:21",13.2,21.4,47.9,1016.3
1,"2022-09-03 06:21:05",13.5,21.4,47.8,1016.4
1,"2022-09-03 06:30:48",13.6,21.4,47.6,1016.4
1,"2022-09-03 06:40:32",13.6,21.4,47.4,1016.4
1,"2022-09-03 06:50:15",14.1,21.4,47.2,1016.5
1,"2022-09-03 06:59:59",14.5,21.4,47.3,1016.4
1,"2022-09-03 07:09:43",15.1,21.5,46.9,1016.4
1,"2022-09-03 07:19:25",15.6,21.5,48.4,1016.2
1,"2022-09-03 07:29:09",16.0,21.7,49.7,1016.3
1,"2022-09-03 07:38:53",16.5,21.8,49.4,1016.2
1,"2022-09-03 07:48:37",16.6,21.9,49.3,1016.2
1,"2022-09-03 07:58:21",16.9,22.0,49.4,1016.3
1,"2022-09-03 08:08:03",17.4,22.1,49.2,1016.3
1,"2022-09-03 08:17:47",17.7,22.3,48.6,1016.1
1,"2022-09-03 08:27:31",18.0,22.4,48.2,1016.2
1,"2022-09-03 08:37:14",18.1,22.5,48.1,1016.1
1,"2022-09-03 08:46:58",18.5,22.7,48.6,1016.1
1,"2022-09-03 08:56:41",19.0,22.9,49.7,1016.0
1,"2022-09-03 09:06:25",19.3,22.8,47.9,1016.2
1,"2022-09-03 09:16:08",19.6,22.5,47.7,1016.2
1,"2022-09-03 09:25:51",19.8,22.4,48.2,1016.4
1,"2022-09-03 09:35:34",19.8,22.3,47.5,1016.4
1,"2022-09-03 09:45:18",20.2,22.4,49.7,1016.2
1,"2022-09-03 09:55:00",20.5,22.4,51.1,1016.1
1,"2022-09-03 10:04:43",21.1,22.3,50.7,1016.0
1,"2022-09-03 10:14:26",20.6,22.0,50.4,1016.1
1,"2022-09-03 10:24:10",21.3,21.9,50.6,1016.0
1,"2022-09-03 10:33:53",21.5,21.6,48.3,1016.1
1,"2022-09-03 10:43:36",22.3,21.8,47.9,1015.9
1,"2022-09-03 10:53:21",22.4,21.9,51.2,1015.7
1,"2022-09-03 11:03:03",22.4,21.9,50.0,1015.6
1,"2022-09-03 11:12:47",22.1,22.0,50.1,1015.5
1,"2022-09-03 11:22:30",21.8,22.1,50.7,1015.4
1,"2022-09-03 11:32:14",22.8,22.2,51.7,1015.2
1,"2022-09-03 11:41:57",23.9,22.2,50.9,1015.3
1,"2022-09-03 11:51:41",25.1,22.3,46.2,1015.1
1,"2022-09-03 12:01:25",23.8,22.4,47.4,1015.3
1,"2022-09-03 12:11:08",25.3,22.5,47.3,1015.2
1,"2022-09-03 12:20:52",25.3,22.7,47.1,1015.1
1,"2022-09-03 12:30:37",26.3,23.0,46.4,1015.1
1,"2022-09-03 12:40:20",24.9,23.1,45.7,1015.0
1,"2022-09-03 12:50:03",25.1,23.1,46.2,1014.9
1,"2022-09-03 12:59:47",25.0,23.3,46.3,1014.6
1,"2022-09-03 13:09:30",24.7,23.4,47.2,1014.6
1,"2022-09-03 13:19:14",25.0,23.6,47.4,1014.5
1,"2022-09-03 13:28:58",25.1,23.9,47.4,1014.3
1,"2022-09-03 13:38:42",25.6,24.1,47.6,1014.4
1,"2022-09-03 13:48:26",25.4,24.3,47.4,1014.3
1,"2022-09-03 13:58:10",25.8,24.6,46.8,1014.4
1,"2022-09-03 14:07:54",25.1,24.8,46.0,1014.4
1,"2022-09-03 14:17:38",25.8,25.0,44.6,1014.3
1,"2022-09-03 14:27:22",26.8,25.1,44.7,1014.2
1,"2022-09-03 14:37:06",27.3,25.2,45.6,1014.2
1,"2022-09-03 14:46:51",27.0,25.3,45.7,1014.2
1,"2022-09-03 14:56:33",26.4,25.4,45.9,1014.1
1,"2022-09-03 15:06:16",26.0,25.5,45.9,1014.1
1,"2022-09-03 15:16:00",26.5,25.5,45.3,1014.2
1,"2022-09-03 15:25:44",25.9,25.5,44.7,1014.0
1,"2022-09-03 15:35:27",25.9,25.6,44.9,1014.0
1,"2022-09-03 15:45:11",25.8,25.6,44.0,1014.1
1,"2022-09-03 15:54:54",25.7,25.6,44.0,1014.0
1,"2022-09-03 16:04:38",25.8,25.6,44.1,1014.1
1,"2022-09-03 16:14:22",25.8,25.7,43.8,1014.1
1,"2022-09-03 16:24:06",27.5,25.6,42.4,1014.1
1,"2022-09-03 16:33:47",26.2,25.3,44.3,1014.1
1,"2022-09-03 16:43:31",24.9,25.1,44.6,1014.2
1,"2022-09-03 16:53:14",25.9,25.0,45.1,1014.4
1,"2022-09-03 17:02:57",24.8,25.0,45.3,1014.4
1,"2022-09-03 17:12:41",23.9,24.8,45.3,1014.3
1,"2022-09-03 17:22:24",22.9,24.8,45.4,1014.4
1,"2022-09-03 17:32:07",23.4,24.5,46.3,1014.4
1,"2022-09-03 17:41:51",22.2,24.5,46.2,1014.6
1,"2022-09-03 17:51:33",21.8,24.5,46.1,1014.5
1,"2022-09-03 18:01:18",21.7,24.6,46.1,1014.5
1,"2022-09-03 18:11:00",21.6,24.5,45.8,1014.6
1,"2022-09-03 18:20:43",21.1,24.5,45.9,1014.7
1,"2022-09-03 18:30:27",20.3,24.5,46.5,1014.8
1,"2022-09-03 18:40:12",20.2,24.7,47.0,1014.9
1,"2022-09-03 18:49:53",20.0,24.7,47.1,1014.9
1,"2022-09-03 18:59:37",19.9,24.8,47.3,1015.0
1,"2022-09-03 19:09:21",19.8,24.9,47.4,1015.0
1,"2022-09-03 19:19:06",19.7,24.9,47.5,1015.2
1,"2022-09-03 19:28:49",19.6,24.9,47.5,1015.3
1,"2022-09-03 19:38:31",19.5,25.0,47.5,1015.4
